NumberOfPlayers,DeadAgentVoted,DeadAgentAttacked,TeammateAttacked,IncorrectAction,WerewolfWins,VillagerWins,TotalTurns,TotalDays,TotalGames,GameTimeSeconds
35,60,14,2,286,0,1,38,19,1,1.499956
35,75,22,7,278,0,1,49,24,1,1.74292
35,121,24,3,340,1,0,81,40,1,2.196901
35,39,14,2,223,0,1,25,12,1,1.378942
35,71,29,2,315,0,1,49,24,1,1.810915
35,102,35,1,378,1,0,66,33,1,2.082912
35,50,16,2,235,1,0,34,17,1,1.352941
35,80,22,1,278,1,0,51,25,1,1.821931
35,107,16,4,387,0,1,67,33,1,2.209992
35,70,25,1,289,0,1,43,21,1,2.025919
35,80,11,2,294,1,0,57,28,1,1.883926
35,89,27,1,361,1,0,75,37,1,2.112907
35,92,37,4,273,0,1,53,26,1,2.005911
35,67,25,3,247,0,1,39,19,1,1.60093
35,90,17,4,281,0,1,69,34,1,2.043916
35,84,20,7,286,1,0,53,26,1,1.820919
35,41,11,1,257,0,1,29,14,1,1.620936
35,68,18,1,273,0,1,33,16,1,1.471924
35,64,6,2,299,0,1,37,18,1,1.425939
35,73,15,1,313,0,1,53,26,1,1.648932
35,57,29,2,254,1,0,39,19,1,1.720928
35,115,49,0,393,1,0,87,43,1,2.755884
35,70,14,3,247,0,1,33,16,1,1.49193
35,87,17,4,322,0,1,62,31,1,2.013913
35,102,22,1,310,0,1,62,31,1,1.876914
35,60,10,4,236,0,1,29,14,1,1.339942
35,108,44,6,344,1,0,79,39,1,2.238902
35,72,26,2,315,1,0,51,25,1,1.771935
35,81,27,2,285,0,1,51,25,1,1.990911
35,52,9,1,269,0,1,34,17,1,1.419937
35,58,15,2,266,0,1,35,17,1,1.65693
35,74,12,3,297,0,1,43,21,1,1.912922
35,61,17,2,240,0,1,31,15,1,1.766921
35,59,25,2,244,1,0,51,25,1,2.086909
35,93,38,1,339,1,0,69,34,1,2.654886
35,51,28,2,227,0,1,35,17,1,1.993919
35,102,39,4,328,0,1,64,32,1,2.537893
35,106,44,5,309,0,1,93,46,1,2.440899
35,68,22,3,255,0,1,37,18,1,1.745922
35,67,15,3,283,0,1,35,17,1,1.470932
35,66,23,2,251,1,0,39,19,1,1.758943
35,79,21,2,308,0,1,56,28,1,2.131907
35,19,9,1,177,0,1,17,8,1,1.079953
35,82,25,4,284,1,0,67,33,1,2.004438
35,49,11,3,258,0,1,33,16,1,1.613927
35,80,10,1,310,0,1,43,21,1,1.848919
35,52,17,1,242,0,1,39,19,1,1.541959
35,101,35,5,312,1,0,81,40,1,2.20893
35,73,9,2,250,0,1,41,20,1,1.376963
35,114,19,5,321,1,0,62,31,1,1.811944
35,58,5,4,276,0,1,32,16,1,1.680949
35,51,14,4,227,0,1,33,16,1,1.510955
35,70,29,2,288,0,1,47,23,1,1.684949
35,51,17,2,249,0,1,31,15,1,1.424959
